文件名,子文件,文件后缀,文件大小(B),所有依赖文件个数,总大小(MB),引用次数,文件状态
Assets/Resources/BuffPosition.prefab,,.prefab,10388,1,0.0114631652832031,0,None
,Assets/BattleCity/Script/Fight/Common/Buff/BuffPositions.cs,.cs,1632,0,0,1,None
Assets/BattleCity/Script/Fight/Common/Buff/BuffPositions.cs,,.cs,1632,0,0.001556396484375,1,None
Assets/Resources/Main.prefab,,.prefab,18460,7,8.38502883911133,0,None
,Assets/NGUI/Scripts/UI/UIPanel.cs,.cs,45913,0,0,3,None
,Assets/NGUI/Scripts/UI/UILabel.cs,.cs,44770,0,0,3,None
,Assets/BattleCity/Script/Loader.cs,.cs,916,0,0,1,None
,Assets/NGUI/Scripts/UI/UIRoot.cs,.cs,8295,0,0,1,None
,Assets/NGUI/Scripts/UI/UICamera.cs,.cs,64934,0,0,1,None
,Assets/Font/NotoSansHans-Bold.otf,.otf,8607960,0,8,3,None
,Assets/Framework/Util/FPS.cs,.cs,1092,0,0,1,None
Assets/NGUI/Scripts/UI/UIPanel.cs,,.cs,45913,0,0.0437860488891602,3,None
Assets/NGUI/Scripts/UI/UILabel.cs,,.cs,44770,0,0.0426959991455078,3,None
Assets/BattleCity/Script/Loader.cs,,.cs,916,0,0.000873565673828125,1,None
Assets/NGUI/Scripts/UI/UIRoot.cs,,.cs,8295,0,0.00791072845458984,1,None
Assets/NGUI/Scripts/UI/UICamera.cs,,.cs,64934,0,0.0619258880615234,1,None
Assets/Font/NotoSansHans-Bold.otf,,.otf,8607960,0,8.20919036865234,3,None
Assets/Framework/Util/FPS.cs,,.cs,1092,0,0.00104141235351563,1,None
Assets/Resources/PoolManager.prefab,,.prefab,7276,78,2.01867198944092,0,None
,Assets/Arts/Sfx/textures/tx_lizi_39.png,.png,10559,0,0,2,None
,Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/SmokeTrail.cs,.cs,2610,0,0,6,None
,Assets/Arts/Sfx/textures/tx_lizi_93.png,.png,45234,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_02.png,.png,66935,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_58.png,.png,64516,0,0,2,None
,Assets/Arts/Sfx/textures/tx_glow_001.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_02.png,.png,142218,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0001.mat,.mat,4224,0,0,2,None
,Assets/Arts/Sfx/textures/Sphere001_01.mat,.mat,4628,0,0,2,None
,Assets/Arts/Sfx/Shaders/chongji.shader,.shader,8346,0,0,2,None
,Assets/Arts/Sfx/textures/Sphere001_02.mat,.mat,4628,0,0,2,None
,Assets/Resources/Effect/tank_hit_002.prefab,.prefab,91140,17,0,2,None
,Assets/Resources/Effect/tank_hit_001.prefab,.prefab,80476,20,0,2,None
,Assets/Arts/Sfx/textures/path_302_02.mat,.mat,4508,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_01.mat,.mat,4268,0,0,5,None
,Assets/Arts/Sfx/Materials/tx_lizi_42.mat,.mat,4216,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_01.png,.png,127761,0,0,5,None
,Assets/Arts/Sfx/Scripts/PigeonCoopToolkit/Effects/Trails/Icons/SmokeTrailIcon.psd,.psd,39065,0,0,6,None
,Assets/Arts/Sfx/textures/tx_lizi_103.png,.png,9011,0,0,4,None
,Assets/Arts/Sfx/textures/path_302_01.mat,.mat,4268,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_104.mat,.mat,4292,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_07.mat,.mat,4268,0,0,3,None
,Assets/Arts/Sfx/textures/tx_lizi_03_02.mat,.mat,4296,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_51.png,.png,8317,0,0,2,None
,Assets/Sonic Ether/Natural Bloom/Shaders/SEParticlesAdditive.shader,.shader,1831,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_103.mat,.mat,5324,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_01_01.mat,.mat,4272,0,0,3,None
,Assets/Arts/Sfx/textures/Sphere001.png,.png,68399,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_lizi_18_04.mat,.mat,4272,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_104.png,.png,3723,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_07.png,.png,7930,0,0,3,None
,Assets/Arts/Sfx/textures/tx_trace_100.png,.png,3121,0,0,8,None
,Assets/Resources/Effect/jp_001.prefab,.prefab,49180,4,0,2,None
,Assets/Resources/Effect/dy_001.prefab,.prefab,59948,7,0,2,None
,Assets/Resources/Effect/tank_cartoon_12_c.prefab,.prefab,66532,9,0,2,None
,Assets/Arts/Sfx/models/tank_cartoon_01_01_01.FBX,.fbx,18160,0,0,3,None
,Assets/Arts/Sfx/Materials/tx_glow_01.png,.png,17303,0,0,5,None
,Assets/Arts/Sfx/textures/tx_wenli_0002.png,.png,11314,0,0,2,None
,Assets/Arts/Sfx/textures/tx_trace_100.mat,.mat,4236,0,0,6,None
,Assets/Arts/Sfx/textures/tx_lizi_106.mat,.mat,4220,0,0,2,None
,Assets/Arts/Sfx/textures/path_302.png,.png,68282,0,0,4,None
,Assets/Arts/Sfx/Materials/tx_lizi_18.png,.png,5615,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0002.mat,.mat,4224,0,0,2,None
,Assets/Arts/Sfx/textures/tx_heat_01.mat,.mat,4700,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_105.png,.png,4487,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_106.png,.png,4261,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_105.mat,.mat,4220,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_93.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/models/Materials/No Name.mat,.mat,4892,0,0,11,None
,Assets/Arts/Sfx/textures/tx_heat_01.png,.png,12421,0,0,4,None
,Assets/Arts/Sfx/Shaders/daoguang.shader,.shader,9336,0,0,3,None
,Assets/Arts/Sfx/Shaders/Distortion.shader,.shader,2222,0,0,4,None
,Assets/Arts/Sfx/Materials/tx_wenli_14_02.mat,.mat,4344,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_02_02.mat,.mat,4452,0,0,3,None
,Assets/Arts/Sfx/Materials/tx_glow_01_01.mat,.mat,4236,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0001.PNG,.png,22415,0,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_03.png,.png,4623,0,0,13,None
,Assets/Arts/Sfx/Materials/tx_lizi_42.png,.png,5184,0,0,2,None
,Assets/Resources/Effect/js_001.prefab,.prefab,57644,9,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_36.mat,.mat,4268,0,0,7,None
,Assets/Arts/Sfx/textures/tx_lizi_03_01.mat,.mat,4296,0,0,3,None
,Assets/Resources/Effect/yt_001.prefab,.prefab,65052,8,0,2,None
,Assets/Arts/Sfx/textures/tx_lizi_36.png,.png,9667,0,0,7,None
,Assets/Resources/Effect/pohuai_hit_001.prefab,.prefab,106428,11,0,2,None
,Assets/Arts/Sfx/Materials/tx_glow_01_04.mat,.mat,4272,0,0,5,None
,Assets/Arts/Sfx/textures/tx_wenli_0001_01.mat,.mat,4224,0,0,2,None
,Assets/Arts/Sfx/Materials/tx_wenli_14.PNG,.png,3043,0,0,2,None
,Assets/hamsterbyte/Pool Master/ObjectPool.cs,.cs,76013,0,0,1,None
,Assets/Arts/Sfx/textures/tx_xulie_55.png,.png,16018,0,0,4,None
,Assets/Arts/Sfx/textures/tx_wenli_01.png,.png,49605,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_03.png,.png,304416,0,0,4,None
,Assets/Arts/Sfx/textures/tx_lizi_51.mat,.mat,4268,0,0,2,None
,Assets/Arts/Sfx/textures/tx_glow_001.PNG,.png,5251,0,0,2,None
,Assets/Arts/Sfx/textures/tx_wenli_0002_01.mat,.mat,4224,0,0,2,None
,Assets/Resources/Effect/tank_fire_01.prefab,.prefab,75524,17,0,2,None
,Assets/Resources/Effect/ts_001.prefab,.prefab,59996,5,0,2,None
,Assets/Arts/Sfx/textures/tx_xulie_55.mat,.mat,4268,0,0,4,None
